,Antarctica - Sea Level (m),,,,,,,,,,Glaciers - Sea Level (m),,,,,,,,,,Greenland - Sea Level (m),,,,,,,,,,Thermal expansion - Sea Level (m),,,,,,,,,,Total - Sea Level (m),,,,,,,,
Year (AD),0 Gt,160 Gt,320 Gt,640 Gt,960 Gt,1280 Gt,2560 Gt,3840 Gt,5120 Gt,,0 Gt,160 Gt,320 Gt,640 Gt,960 Gt,1280 Gt,2560 Gt,3840 Gt,5120 Gt,,0 Gt,160 Gt,320 Gt,640 Gt,960 Gt,1280 Gt,2560 Gt,3840 Gt,5120 Gt,,0 Gt,160 Gt,320 Gt,640 Gt,960 Gt,1280 Gt,2560 Gt,3840 Gt,5120 Gt,,0 Gt,160 Gt,320 Gt,640 Gt,960 Gt,1280 Gt,2560 Gt,3840 Gt,5120 Gt
2000,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2001,-3.40E-04,-3.40E-04,-3.47E-04,-4.35E-04,-5.49E-04,-6.71E-04,-7.17E-04,-8.24E-04,-7.74E-04,,5.48E-04,8.22E-04,1.10E-03,1.10E-03,1.10E-03,1.12E-03,1.15E-03,1.20E-03,1.20E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-04,1.40E-04,1.40E-04,,-1.66E-04,-1.66E-04,-1.66E-04,-1.66E-04,-1.66E-04,-1.66E-04,-1.66E-04,-1.66E-04,-1.66E-04,,4.21E-05,3.16E-04,5.83E-04,4.94E-04,3.80E-04,2.78E-04,4.07E-04,3.52E-04,4.01E-04
2002,-6.49E-04,-6.49E-04,-7.71E-04,-1.10E-03,-1.20E-03,-1.18E-03,-1.19E-03,-1.48E-03,-1.01E-03,,1.12E-03,1.69E-03,2.25E-03,2.25E-03,2.25E-03,2.29E-03,2.41E-03,2.46E-03,2.46E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.80E-04,2.80E-04,2.80E-04,,-2.68E-04,-2.68E-04,-2.68E-04,-2.68E-04,-2.68E-04,-2.68E-04,-2.68E-04,-2.68E-04,-2.68E-04,,2.08E-04,7.69E-04,1.21E-03,8.77E-04,7.76E-04,8.40E-04,1.24E-03,9.97E-04,1.47E-03
2003,-8.56E-04,-8.56E-04,-1.14E-03,-1.38E-03,-1.64E-03,-1.60E-03,-1.36E-03,-1.68E-03,-6.13E-04,,1.61E-03,2.41E-03,3.21E-03,3.21E-03,3.21E-03,3.27E-03,3.44E-03,3.54E-03,3.54E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.20E-04,4.20E-04,4.20E-04,,-3.85E-04,-3.85E-04,-3.85E-04,-3.85E-04,-3.85E-04,-3.85E-04,-3.85E-04,-3.85E-04,-3.85E-04,,3.66E-04,1.17E-03,1.68E-03,1.45E-03,1.19E-03,1.29E-03,2.12E-03,1.89E-03,2.96E-03
2004,-1.32E-03,-1.32E-03,-1.46E-03,-1.72E-03,-2.11E-03,-1.92E-03,-1.51E-03,-1.73E-03,-1.86E-04,,2.11E-03,3.16E-03,4.22E-03,4.22E-03,4.22E-03,4.30E-03,4.37E-03,4.48E-03,4.48E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.60E-04,5.60E-04,5.60E-04,,-4.88E-04,-4.88E-04,-4.88E-04,-4.88E-04,-4.88E-04,-4.88E-04,-4.88E-04,-4.88E-04,-4.88E-04,,2.98E-04,1.35E-03,2.27E-03,2.01E-03,1.62E-03,1.89E-03,2.93E-03,2.83E-03,4.37E-03
2005,-1.66E-03,-1.66E-03,-1.94E-03,-2.35E-03,-2.82E-03,-2.76E-03,-2.09E-03,-1.53E-03,8.28E-04,,2.65E-03,3.98E-03,5.31E-03,5.31E-03,5.31E-03,5.39E-03,5.46E-03,5.55E-03,5.55E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E-04,7.00E-04,7.00E-04,,-5.77E-04,-5.77E-04,-5.77E-04,-5.77E-04,-5.77E-04,-5.77E-04,-5.77E-04,-5.77E-04,-5.77E-04,,4.19E-04,1.74E-03,2.79E-03,2.37E-03,1.91E-03,2.06E-03,3.50E-03,4.15E-03,6.51E-03
2006,-2.15E-03,-2.15E-03,-2.63E-03,-2.98E-03,-3.48E-03,-3.67E-03,-2.46E-03,-1.10E-03,2.52E-03,,3.28E-03,4.92E-03,6.57E-03,6.57E-03,6.57E-03,6.64E-03,6.67E-03,6.72E-03,6.72E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E-04,7.00E-04,7.00E-04,,-6.65E-04,-6.65E-04,-6.65E-04,-6.65E-04,-6.65E-04,-6.65E-04,-6.65E-04,-6.65E-04,-6.65E-04,,4.66E-04,2.11E-03,3.27E-03,2.92E-03,2.42E-03,2.30E-03,4.25E-03,5.66E-03,9.28E-03
2007,-2.58E-03,-2.58E-03,-3.30E-03,-3.54E-03,-4.16E-03,-4.05E-03,-2.51E-03,-1.89E-04,4.22E-03,,3.82E-03,5.72E-03,7.63E-03,7.63E-03,7.63E-03,7.72E-03,7.72E-03,7.70E-03,7.70E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E-04,7.00E-04,7.00E-04,,-7.90E-04,-7.90E-04,-7.90E-04,-7.90E-04,-7.90E-04,-7.90E-04,-7.90E-04,-7.90E-04,-7.90E-04,,4.47E-04,2.35E-03,3.54E-03,3.31E-03,2.68E-03,2.88E-03,5.12E-03,7.42E-03,1.18E-02
2008,-3.07E-03,-3.07E-03,-3.86E-03,-4.53E-03,-4.75E-03,-4.80E-03,-2.58E-03,6.75E-04,6.37E-03,,4.34E-03,6.51E-03,8.67E-03,8.67E-03,8.67E-03,8.78E-03,8.89E-03,8.85E-03,8.85E-03,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E-04,7.00E-04,7.00E-04,,-9.39E-04,-9.39E-04,-9.39E-04,-9.39E-04,-9.39E-04,-9.39E-04,-9.39E-04,-9.39E-04,-9.39E-04,,3.28E-04,2.50E-03,3.88E-03,3.21E-03,2.99E-03,3.05E-03,6.07E-03,9.28E-03,1.50E-02
