,0GtC,,,1280GtC,,,2560GtC,,,3840GtC,,,5120GtC,,
Year (AD),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm)
1750.5,13.246,0.061,279.286,13.246,0.061,279.286,13.246,0.061,279.286,13.246,0.061,279.286,13.246,0.061,279.286
1751.5,13.247,0.438,279.455,13.247,0.438,279.455,13.247,0.438,279.455,13.247,0.438,279.455,13.247,0.438,279.455
1752.5,13.247,0.503,279.700,13.247,0.503,279.700,13.247,0.503,279.700,13.249,0.503,279.702,13.247,0.503,279.700
1753.5,13.247,0.503,279.914,13.247,0.503,279.914,13.247,0.503,279.914,13.252,0.503,279.919,13.247,0.503,279.914
1754.5,13.248,0.503,280.100,13.248,0.503,280.100,13.248,0.503,280.100,13.252,0.503,280.112,13.248,0.503,280.100
1755.5,13.250,0.503,280.264,13.250,0.503,280.264,13.250,0.503,280.264,13.252,0.503,280.278,13.250,0.503,280.264
1756.5,13.252,0.503,280.416,13.252,0.503,280.416,13.252,0.503,280.416,13.254,0.503,280.428,13.252,0.503,280.416
1757.5,13.256,0.503,280.564,13.256,0.503,280.564,13.256,0.503,280.564,13.255,0.503,280.576,13.256,0.503,280.564
1758.5,13.263,0.503,280.717,13.263,0.503,280.717,13.263,0.503,280.717,13.260,0.503,280.726,13.263,0.503,280.717
1759.5,13.269,0.503,280.875,13.269,0.503,280.875,13.269,0.503,280.875,13.266,0.503,280.880,13.269,0.503,280.875
1760.5,13.263,0.503,281.022,13.263,0.503,281.022,13.263,0.503,281.022,13.262,0.503,281.022,13.263,0.503,281.022
1761.5,13.271,0.503,281.144,13.271,0.503,281.144,13.271,0.503,281.144,13.267,0.503,281.142,13.271,0.503,281.144
1762.5,13.243,0.503,281.225,13.243,0.503,281.225,13.243,0.503,281.225,13.241,0.503,281.221,13.243,0.503,281.225
