,0GtC,,160GtC,,320GtC,,640GtC,,960GtC,,1280GtC,,2560GtC,,3840GtC,,5120GtC,
Year (AD),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm),SAT (°C),pCO2 (ppm)
1801,13.069,283.526,13.069,283.526,13.069,283.526,13.069,283.526,13.069,283.526,13.069,283.526,13.069,283.526,13.069,283.526,13.069,283.526
1802,13.071,283.823,13.071,283.823,13.071,283.823,13.071,283.823,13.071,283.823,13.071,283.823,13.071,283.823,13.071,283.823,13.071,283.823
1803,13.073,284.078,13.073,284.078,13.073,284.078,13.073,284.078,13.073,284.078,13.073,284.078,13.073,284.078,13.073,284.078,13.073,284.078
1804,13.072,284.304,13.072,284.304,13.072,284.304,13.072,284.304,13.072,284.304,13.072,284.304,13.072,284.304,13.072,284.304,13.072,284.304
1805,13.073,284.507,13.073,284.507,13.073,284.507,13.073,284.507,13.073,284.507,13.073,284.507,13.073,284.507,13.073,284.507,13.073,284.507
1806,13.071,284.688,13.071,284.688,13.071,284.688,13.071,284.688,13.071,284.688,13.071,284.688,13.071,284.688,13.071,284.688,13.071,284.688
1807,13.072,284.856,13.072,284.856,13.072,284.856,13.072,284.856,13.072,284.856,13.072,284.856,13.072,284.856,13.072,284.856,13.072,284.856
1808,13.071,285.007,13.071,285.007,13.071,285.007,13.071,285.007,13.071,285.007,13.071,285.007,13.071,285.007,13.071,285.007,13.071,285.007
1809,13.070,285.148,13.070,285.148,13.070,285.148,13.070,285.148,13.070,285.148,13.070,285.148,13.070,285.148,13.070,285.148,13.070,285.148
1810,13.067,285.279,13.067,285.279,13.067,285.279,13.067,285.279,13.067,285.279,13.067,285.279,13.067,285.279,13.067,285.279,13.067,285.279
1811,13.066,285.399,13.066,285.399,13.066,285.399,13.066,285.399,13.066,285.399,13.066,285.399,13.066,285.399,13.066,285.399,13.066,285.399
1812,13.064,285.514,13.064,285.514,13.064,285.514,13.064,285.514,13.064,285.514,13.064,285.514,13.064,285.514,13.064,285.514,13.064,285.514
1813,13.063,285.621,13.063,285.621,13.063,285.621,13.063,285.621,13.063,285.621,13.063,285.621,13.063,285.621,13.063,285.621,13.063,285.621
1814,13.064,285.721,13.064,285.721,13.064,285.721,13.064,285.721,13.064,285.721,13.064,285.721,13.064,285.721,13.064,285.721,13.064,285.721
1815,13.063,285.817,13.063,285.817,13.063,285.817,13.063,285.817,13.063,285.817,13.063,285.817,13.063,285.817,13.063,285.817,13.063,285.817
1816,13.062,285.912,13.062,285.912,13.062,285.912,13.062,285.912,13.062,285.912,13.062,285.912,13.062,285.912,13.062,285.912,13.062,285.912
1817,13.065,286.004,13.065,286.004,13.065,286.004,13.065,286.004,13.065,286.004,13.065,286.004,13.065,286.004,13.065,286.004,13.065,286.004
1818,13.065,286.095,13.065,286.095,13.065,286.095,13.065,286.095,13.065,286.095,13.065,286.095,13.065,286.095,13.065,286.095,13.065,286.095
1819,13.068,286.185,13.068,286.185,13.068,286.185,13.068,286.185,13.068,286.185,13.068,286.185,13.068,286.185,13.068,286.185,13.068,286.185
1820,13.069,286.273,13.069,286.273,13.069,286.273,13.069,286.273,13.069,286.273,13.069,286.273,13.069,286.273,13.069,286.273,13.069,286.273
1821,13.077,286.364,13.077,286.364,13.077,286.364,13.077,286.364,13.077,286.364,13.077,286.364,13.077,286.364,13.077,286.364,13.077,286.364
1822,13.084,286.462,13.084,286.462,13.084,286.462,13.084,286.462,13.084,286.462,13.084,286.462,13.084,286.462,13.084,286.462,13.084,286.462
1823,13.086,286.563,13.086,286.563,13.086,286.563,13.086,286.563,13.086,286.563,13.086,286.563,13.086,286.563,13.086,286.563,13.086,286.563
1824,13.088,286.665,13.088,286.665,13.088,286.665,13.088,286.665,13.088,286.665,13.088,286.665,13.088,286.665,13.088,286.665,13.088,286.665
1825,13.090,286.767,13.090,286.767,13.090,286.767,13.090,286.767,13.090,286.767,13.090,286.767,13.090,286.767,13.090,286.767,13.090,286.767
1826,13.089,286.869,13.089,286.869,13.089,286.869,13.089,286.869,13.089,286.869,13.089,286.869,13.089,286.869,13.089,286.869,13.089,286.869
1827,13.087,286.968,13.087,286.968,13.087,286.968,13.087,286.968,13.087,286.968,13.087,286.968,13.087,286.968,13.087,286.968,13.087,286.968
1828,13.087,287.064,13.087,287.064,13.087,287.064,13.087,287.064,13.087,287.064,13.087,287.064,13.087,287.064,13.087,287.064,13.087,287.064
1829,13.086,287.157,13.086,287.157,13.086,287.157,13.086,287.157,13.086,287.157,13.086,287.157,13.086,287.157,13.086,287.157,13.086,287.157
1830,13.086,287.248,13.086,287.248,13.086,287.248,13.086,287.248,13.086,287.248,13.086,287.248,13.086,287.248,13.086,287.248,13.086,287.248
1831,13.085,287.340,13.085,287.340,13.085,287.340,13.085,287.340,13.085,287.340,13.085,287.340,13.085,287.340,13.085,287.340,13.085,287.340
1832,13.084,287.429,13.084,287.429,13.084,287.429,13.084,287.429,13.084,287.429,13.084,287.429,13.084,287.429,13.084,287.429,13.084,287.429
1833,13.084,287.515,13.084,287.515,13.084,287.515,13.084,287.515,13.084,287.515,13.084,287.515,13.084,287.515,13.084,287.515,13.084,287.515
1834,13.084,287.596,13.084,287.596,13.084,287.596,13.084,287.596,13.084,287.596,13.084,287.596,13.084,287.596,13.084,287.596,13.084,287.596
1835,13.083,287.674,13.083,287.674,13.083,287.674,13.083,287.674,13.083,287.674,13.083,287.674,13.083,287.674,13.083,287.674,13.083,287.674
1836,13.087,287.750,13.087,287.750,13.087,287.750,13.087,287.750,13.087,287.750,13.087,287.750,13.087,287.750,13.087,287.750,13.087,287.750
1837,13.091,287.830,13.091,287.830,13.091,287.830,13.091,287.830,13.091,287.830,13.091,287.830,13.091,287.830,13.091,287.830,13.091,287.830
1838,13.096,287.910,13.096,287.910,13.096,287.910,13.096,287.910,13.096,287.910,13.096,287.910,13.096,287.910,13.096,287.910,13.096,287.910
1839,13.101,287.994,13.101,287.994,13.101,287.994,13.101,287.994,13.101,287.994,13.101,287.994,13.101,287.994,13.101,287.994,13.101,287.994
1840,13.101,288.082,13.101,288.082,13.101,288.082,13.101,288.082,13.101,288.082,13.101,288.082,13.101,288.082,13.101,288.082,13.101,288.082
1841,13.100,288.170,13.100,288.170,13.100,288.170,13.100,288.170,13.100,288.170,13.100,288.170,13.100,288.170,13.100,288.170,13.100,288.170
1842,13.101,288.257,13.101,288.257,13.101,288.257,13.101,288.257,13.101,288.257,13.101,288.257,13.101,288.257,13.101,288.257,13.101,288.257
1843,13.098,288.343,13.098,288.343,13.098,288.343,13.098,288.343,13.098,288.343,13.098,288.343,13.098,288.343,13.098,288.343,13.098,288.343
1844,13.099,288.425,13.099,288.425,13.099,288.425,13.099,288.425,13.099,288.425,13.099,288.425,13.099,288.425,13.099,288.425,13.099,288.425
1845,13.101,288.509,13.101,288.509,13.101,288.509,13.101,288.509,13.101,288.509,13.101,288.509,13.101,288.509,13.101,288.509,13.101,288.509
1846,13.106,288.596,13.106,288.596,13.106,288.596,13.106,288.596,13.106,288.596,13.106,288.596,13.106,288.596,13.106,288.596,13.106,288.596
1847,13.108,288.685,13.108,288.685,13.108,288.685,13.108,288.685,13.108,288.685,13.108,288.685,13.108,288.685,13.108,288.685,13.108,288.685
1848,13.110,288.775,13.110,288.775,13.110,288.775,13.110,288.775,13.110,288.775,13.110,288.775,13.110,288.775,13.110,288.775,13.110,288.775
1849,13.109,288.863,13.109,288.863,13.109,288.863,13.109,288.863,13.109,288.863,13.109,288.863,13.109,288.863,13.109,288.863,13.109,288.863
1850,13.109,288.950,13.109,288.950,13.109,288.950,13.109,288.950,13.109,288.950,13.109,288.950,13.109,288.950,13.109,288.950,13.109,288.950
